schema_name,function_name,identity_args,dependency_type,dependency_schema,dependency_name,dependency_relkind
public,admin_add_venue_photo,"p_venue_id uuid, p_image_path text, p_caption text",type,public,venue_photos,
public,admin_create_venue_opening_hour,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",type,public,venue_opening_hours,
public,admin_create_venue_pricing_tier,"p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",type,public,venue_pricing_audience,
public,admin_create_venue_pricing_tier,"p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",type,public,venue_pricing_tiers,
public,admin_create_venue_species_stock,"p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",type,public,venue_species_stock,
public,admin_create_venue_species_stock,"p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",type,public,venue_stock_density,
public,admin_get_venue_by_slug,p_slug text,type,public,weight_unit,
public,admin_get_venues,"p_search text, p_limit integer, p_offset integer",type,public,weight_unit,
public,admin_update_venue_opening_hour,"p_id uuid, p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",type,public,venue_opening_hours,
public,admin_update_venue_pricing_tier,"p_id uuid, p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",type,public,venue_pricing_audience,
public,admin_update_venue_pricing_tier,"p_id uuid, p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",type,public,venue_pricing_tiers,
public,admin_update_venue_rules,"p_venue_id uuid, p_rules_text text",type,public,venue_rules,
public,admin_update_venue_species_stock,"p_id uuid, p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",type,public,venue_species_stock,
public,admin_update_venue_species_stock,"p_id uuid, p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",type,public,venue_stock_density,
public,admin_warn_user,"p_user_id uuid, p_reason text, p_severity warning_severity, p_duration_hours integer",type,public,warning_severity,
public,admin_warn_user,"p_user_id uuid, p_reason text, p_severity warning_severity, p_duration_hours integer",type,public,warning_severity,
public,create_notification,"p_user_id uuid, p_message text, p_type notification_type, p_actor_id uuid, p_catch_id uuid, p_comment_id uuid, p_extra_data jsonb",type,public,notification_type,
public,create_report_with_rate_limit,"p_target_type report_target_type, p_target_id uuid, p_reason text, p_details text",type,public,report_target_type,
public,create_report_with_rate_limit,"p_target_type report_target_type, p_target_id uuid, p_reason text, p_details text",type,public,reports,
public,get_feed_catches,"p_limit integer, p_offset integer, p_scope text, p_sort text, p_species text, p_custom_species text, p_venue_id uuid, p_session_id uuid",type,public,visibility_type,
public,get_feed_catches,"p_limit integer, p_offset integer, p_scope text, p_sort text, p_species text, p_custom_species text, p_venue_id uuid, p_session_id uuid",type,public,weight_unit,
public,get_leaderboard_scores,"p_species_slug text, p_limit integer",type,public,length_unit,
public,get_leaderboard_scores,"p_species_slug text, p_limit integer",type,public,weight_unit,
public,get_venue_by_slug,p_slug text,type,public,weight_unit,
public,get_venue_photos,"p_venue_id uuid, p_limit integer, p_offset integer",type,public,venue_photos,
public,get_venue_recent_catches,"p_venue_id uuid, p_limit integer, p_offset integer",type,public,visibility_type,
public,get_venue_recent_catches,"p_venue_id uuid, p_limit integer, p_offset integer",type,public,weight_unit,
public,get_venue_top_anglers,"p_venue_id uuid, p_limit integer",type,public,weight_unit,
public,get_venue_top_catches,"p_venue_id uuid, p_limit integer",type,public,visibility_type,
public,get_venue_top_catches,"p_venue_id uuid, p_limit integer",type,public,weight_unit,
public,get_venues,"p_search text, p_limit integer, p_offset integer",type,public,weight_unit,
public,owner_add_venue_photo,"p_venue_id uuid, p_image_path text, p_caption text",type,public,venue_photos,
public,owner_create_venue_event,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_contact_phone text, p_is_published boolean",type,public,venue_events,
public,owner_create_venue_opening_hour,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",type,public,venue_opening_hours,
public,owner_create_venue_pricing_tier,"p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",type,public,venue_pricing_audience,
public,owner_create_venue_pricing_tier,"p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",type,public,venue_pricing_tiers,
public,owner_create_venue_species_stock,"p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",type,public,venue_species_stock,
public,owner_create_venue_species_stock,"p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",type,public,venue_stock_density,
public,owner_get_venue_by_slug,p_slug text,type,public,weight_unit,
public,owner_get_venue_events,p_venue_id uuid,type,public,venue_events,
public,owner_update_venue_booking,"p_venue_id uuid, p_booking_enabled boolean",type,public,venues,
public,owner_update_venue_event,"p_event_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_contact_phone text, p_is_published boolean",type,public,venue_events,
public,owner_update_venue_metadata,"p_venue_id uuid, p_tagline text, p_description text, p_ticket_type text, p_best_for_tags text[], p_facilities text[], p_price_from text, p_website_url text, p_booking_url text, p_contact_phone text, p_payment_methods text[], p_payment_notes text",type,public,venues,
public,owner_update_venue_opening_hour,"p_id uuid, p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",type,public,venue_opening_hours,
public,owner_update_venue_pricing_tier,"p_id uuid, p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",type,public,venue_pricing_audience,
public,owner_update_venue_pricing_tier,"p_id uuid, p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",type,public,venue_pricing_tiers,
public,owner_update_venue_rules,"p_venue_id uuid, p_rules_text text",type,public,venue_rules,
public,owner_update_venue_species_stock,"p_id uuid, p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",type,public,venue_species_stock,
public,owner_update_venue_species_stock,"p_id uuid, p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",type,public,venue_stock_density,
