schema_name,function_name,identity_args,regprocedure,return_type,prokind,is_security_definer,owner_role,search_path_value,search_path_pinned,schema_exposed,anon_schema_usage,authenticated_schema_usage,exec_public,exec_anon,exec_authenticated,callable_by_anon,callable_by_authenticated,overload_ambiguous
graphql_public,graphql,"""operationName"" text, query text, variables jsonb, extensions jsonb","graphql_public.graphql(text,text,jsonb,jsonb)",jsonb,f,f,supabase_admin,,f,t,t,t,t,t,t,t,t,f
public,get_community_stats,,get_community_stats(),"TABLE(total_catches bigint, active_anglers bigint, waterways bigint, updated_at timestamp with time zone)",f,t,postgres,"public, extensions",t,t,t,t,f,t,t,t,t,f
public,get_feed_catches,"p_limit integer, p_offset integer, p_scope text, p_sort text, p_species text, p_custom_species text, p_venue_id uuid, p_session_id uuid","get_feed_catches(integer,integer,text,text,text,text,uuid,uuid)","TABLE(id uuid, title text, image_url text, user_id uuid, location text, species text, weight numeric, weight_unit weight_unit, visibility visibility_type, hide_exact_spot boolean, conditions jsonb, created_at timestamp with time zone, session_id uuid, profiles jsonb, ratings jsonb, comments jsonb, reactions jsonb, venues jsonb, avg_rating numeric, rating_count integer)",f,f,postgres,"public, extensions",t,t,t,t,t,t,t,t,t,f
public,get_leaderboard_scores,"p_species_slug text, p_limit integer","get_leaderboard_scores(text,integer)","TABLE(id uuid, user_id uuid, owner_username text, title text, species_slug text, species text, weight numeric, weight_unit weight_unit, length numeric, length_unit length_unit, image_url text, avg_rating numeric, rating_count integer, total_score numeric, created_at timestamp with time zone, location_label text, location text, method_tag text, method text, water_type_code text, description text, gallery_photos text[], tags text[], video_url text, conditions jsonb, caught_at timestamp with time zone, is_blocked_from_viewer boolean)",f,t,postgres,"""""",t,t,t,t,f,t,t,t,t,f
public,get_species_options,"p_only_active boolean, p_only_with_catches boolean","get_species_options(boolean,boolean)","TABLE(slug text, label text)",f,t,postgres,"public, extensions",t,t,t,t,f,t,t,t,t,f
public,get_venue_by_slug,p_slug text,get_venue_by_slug(text),"TABLE(id uuid, slug text, name text, location text, description text, is_published boolean, created_at timestamp with time zone, updated_at timestamp with time zone, short_tagline text, ticket_type text, price_from text, best_for_tags text[], facilities text[], website_url text, booking_url text, booking_enabled boolean, contact_phone text, payment_methods text[], payment_notes text, total_catches integer, recent_catches_30d integer, active_anglers_all_time integer, active_anglers_30d integer, headline_pb_weight numeric, headline_pb_unit weight_unit, headline_pb_species text, top_species text[], avg_rating numeric, rating_count integer)",f,f,postgres,"public, extensions",t,t,t,t,f,t,t,t,t,f
public,get_venue_past_events,"p_venue_id uuid, p_now timestamp with time zone, p_limit integer, p_offset integer","get_venue_past_events(uuid,timestamp with time zone,integer,integer)","TABLE(id uuid, venue_id uuid, title text, event_type text, starts_at timestamp with time zone, ends_at timestamp with time zone, description text, ticket_info text, website_url text, booking_url text, is_published boolean, created_at timestamp with time zone, updated_at timestamp with time zone)",f,f,postgres,"public, extensions",t,t,t,t,t,t,t,t,t,f
public,get_venue_photos,"p_venue_id uuid, p_limit integer, p_offset integer","get_venue_photos(uuid,integer,integer)",SETOF venue_photos,f,f,postgres,"public, extensions",t,t,t,t,f,t,t,t,t,f
public,get_venue_recent_catches,"p_venue_id uuid, p_limit integer, p_offset integer","get_venue_recent_catches(uuid,integer,integer)","TABLE(id uuid, title text, image_url text, user_id uuid, location text, species text, weight numeric, weight_unit weight_unit, visibility visibility_type, hide_exact_spot boolean, conditions jsonb, created_at timestamp with time zone, profiles jsonb, ratings jsonb, comments jsonb, reactions jsonb, venues jsonb)",f,f,postgres,"public, extensions",t,t,t,t,t,t,t,t,t,f
public,get_venue_top_anglers,"p_venue_id uuid, p_limit integer","get_venue_top_anglers(uuid,integer)","TABLE(user_id uuid, username text, avatar_path text, avatar_url text, catch_count integer, best_weight numeric, best_weight_unit weight_unit, last_catch_at timestamp with time zone)",f,f,postgres,"public, extensions",t,t,t,t,t,t,t,t,t,f
public,get_venue_top_catches,"p_venue_id uuid, p_limit integer","get_venue_top_catches(uuid,integer)","TABLE(id uuid, title text, image_url text, user_id uuid, location text, species text, weight numeric, weight_unit weight_unit, visibility visibility_type, hide_exact_spot boolean, conditions jsonb, created_at timestamp with time zone, profiles jsonb, ratings jsonb, comments jsonb, reactions jsonb, venues jsonb)",f,f,postgres,"public, extensions",t,t,t,t,t,t,t,t,t,f
public,get_venue_upcoming_events,"p_venue_id uuid, p_now timestamp with time zone, p_limit integer","get_venue_upcoming_events(uuid,timestamp with time zone,integer)","TABLE(id uuid, venue_id uuid, title text, event_type text, starts_at timestamp with time zone, ends_at timestamp with time zone, description text, ticket_info text, website_url text, booking_url text, is_published boolean, created_at timestamp with time zone, updated_at timestamp with time zone)",f,f,postgres,"public, extensions",t,t,t,t,t,t,t,t,t,f
public,get_venues,"p_search text, p_limit integer, p_offset integer","get_venues(text,integer,integer)","TABLE(id uuid, slug text, name text, location text, description text, is_published boolean, created_at timestamp with time zone, updated_at timestamp with time zone, short_tagline text, ticket_type text, price_from text, best_for_tags text[], facilities text[], total_catches integer, recent_catches_30d integer, headline_pb_weight numeric, headline_pb_unit weight_unit, headline_pb_species text, top_species text[], avg_rating numeric, rating_count integer)",f,f,postgres,"public, extensions",t,t,t,t,f,t,t,t,t,f
